INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP
433,39,1620,201,44,0,83,105,74,61,,7093,0,363,460,1567,
434,51,1764,180,81,18,159,129,54,27,,5292,54,477,387,1515,
435,65,1464,147,32,3,94,0,,,,4312,9,277,0,1473,
437,86,1379,250,48,28,190,1170,,,,2050,42,282,1739,941,
438,43,1258,190,77,21,537,746,298,,,2059,34,879,1221,645,
439,102,1640,280,95,68,819,546,517,,,2060,85,1029,686,576,
441,81,1475,237,89,44,425,700,231,,,1552,46,447,736,297,126
442,75,1437,218,80,38,504,697,265,,,1532,41,537,743,304,110
443,96,1522,218,112,4,162,652,,,,3161,8,336,1354,687,129
444,47,1322,205,73,6,178,646,,,,2612,12,352,1276,796,109
445,88,1556,306,98,23,211,527,,,,3037,45,412,1029,796,94
446,87,1655,282,91,35,224,440,,,,3192,68,432,849,608,81
447,87,1767,307,99,13,246,571,,,,2951,22,411,954,743,
448,93,1604,238,101,57,314,668,,,,2341,83,458,975,676,
449,55,1418,216,72,33,259,550,,,,2051,48,375,796,671,
450,93,1662,228,114,42,616,453,334,,,2040,52,756,556,652,
451,53,1426,169,132,25,224,685,,,,2382,42,374,1144,894,
452,104,1352,161,144,60,294,606,,,,2028,90,441,909,650,
453,53,1316,229,57,8,73,423,,,,2600,16,144,836,800,83
454,91,1400,251,100,14,147,457,,,,2700,27,284,881,636,100
455,69,1535,231,75,14,255,432,,,,2960,27,492,833,671,131
456,83,1415,275,79,40,241,516,,,,2795,79,476,1019,701,140
457,92,1423,307,63,13,232,625,,,,2377,22,387,1044,650,
458,51,1351,213,71,23,246,833,,,,1954,33,356,1205,741,
459,23,1458,220,35,0,93,0,,,,16871,0,1076,0,1898,
460,56,1832,196,223,39,145,140,101,,,10234,218,810,782,1246,
461,44,2003,272,44,0,125,96,88,22,,14749,0,920,707,1237,
462,128,2273,322,79,20,172,110,,,,5579,49,422,270,692,81
463,71,1738,217,82,0,157,305,,,,4772,0,431,837,859,118
464,81,1828,246,54,8,238,424,,,,4936,22,643,1145,821,100
465,94,1657,342,66,6,150,603,,,,3398,12,308,1237,781,107
466,129,1689,316,75,8,201,419,,,,3257,15,388,808,635,79
467,108,1770,303,69,23,270,432,,,,3414,44,521,833,596,104
468,106,1720,403,104,29,274,505,,,,3317,56,528,974,725,104
469,98,1653,458,101,21,213,660,,,,2733,35,352,1091,898,
470,90,1701,234,72,205,382,678,,,,2460,297,553,981,861,
471,126,1561,266,108,78,492,621,,,,2258,113,712,898,719,
472,118,1598,259,114,69,601,670,278,,,2088,90,785,875,621,
473,95,1576,238,131,107,545,536,511,,,2110,143,730,718,632,
474,92,1441,176,114,92,348,676,344,,,1729,110,418,811,500,
475,82,1564,226,81,97,636,633,298,,,1919,119,781,777,568,
477,98,1480,191,106,72,631,548,286,,,1776,86,757,658,476,
478,78,1318,165,102,29,474,535,259,,,1462,32,526,594,470,
480,70,1908,325,106,80,609,366,401,,,2342,98,747,449,555,
482,90,1659,230,123,43,518,367,420,,,2100,54,656,464,464,
483,72,1664,232,119,47,528,389,324,,,2042,58,648,477,484,
484,92,1545,189,91,19,514,426,238,,,1669,21,555,460,445,
485,82,1563,189,90,30,444,374,270,,,1711,33,486,409,468,
486,75,1477,234,59,38,397,443,219,,,1709,44,459,513,484,113
487,62,1457,178,71,21,366,620,238,,,1698,24,427,723,392,101
488,80,1419,155,47,7,417,668,263,,,1678,8,493,790,368,131
489,96,1526,224,73,11,495,,304,,,1791,13,581,,369,92
490,98,1370,166,66,23,316,,240,,,1451,24,335,,299,94
491,97,1322,166,87,13,474,,283,,,1400,14,502,,260,105
492,124,1403,193,76,21,477,,302,,,1495,22,508,,203,107
493,114,1305,173,51,14,464,,250,,,1391,15,495,,225,117
494,104,1333,206,59,20,440,,223,,,1402,21,463,,217,80
495,110,1299,215,64,21,445,,198,,,1375,22,471,,258,101
496,109,1402,230,88,36,570,527,182,,,1475,38,600,554,241,116
497,97,1404,229,106,57,615,649,225,,,1477,60,647,683,274,120
498,98,1510,265,97,46,605,664,177,,,1631,50,653,717,269,135
499,93,1365,206,102,62,587,671,192,,,1445,66,622,710,275,112
500,82,1293,209,78,44,527,607,173,,,1360,46,554,639,326,92
502,71,1310,205,59,49,422,701,141,,,1387,52,447,742,293,110
504,105,1440,206,67,26,450,431,200,,,1808,33,565,541,236,114
505,87,1358,192,67,24,345,415,174,,,1571,28,399,480,215,101
507,68,1644,248,59,39,363,396,74,103,,1741,41,384,419,176,137
508,84,1645,261,75,44,552,470,102,114,,1730,46,581,494,212,162
509,87,1595,256,55,95,479,510,190,150,,1678,100,504,536,219,151
510,86,1502,219,62,70,497,552,145,158,,1590,74,526,584,231,162
511,72,1550,267,74,90,418,494,99,74,,1631,95,440,520,208,169
512,86,1528,306,52,69,468,470,89,,,1607,73,492,494,170,183
513,90,1594,282,67,78,509,521,69,,,1688,83,539,552,192,161
514,96,1536,264,67,97,534,544,87,,,1616,102,562,572,164,185
515,104,1764,330,49,148,628,604,110,,,1880,158,669,644,164,180
516,95,1811,321,76,180,619,668,74,,,1905,189,651,703,179,176
517,88,1660,358,69,88,607,674,52,,,1746,93,639,709,178,148
518,95,1598,311,63,73,419,541,50,,,1681,77,441,569,182,154
520,92,1603,282,47,108,402,676,63,,,1720,116,431,725,147,145
521,105,1663,319,65,93,488,495,69,,,1749,98,513,521,196,171
523,98,1617,266,78,101,566,522,75,,,1701,106,595,549,159,148
524,95,1529,258,75,69,556,507,52,,,1630,74,593,540,144,161
525,88,1480,277,65,96,550,582,64,,,1557,101,579,612,196,133
526,79,1516,286,50,90,507,595,66,,,1595,95,533,626,209,150
527,74,1392,251,26,104,588,705,41,,,1464,109,619,742,189,146
528,72,1431,236,43,79,535,639,66,,,1505,83,563,672,178,178
529,78,1461,219,59,55,608,553,56,,,1547,58,644,586,177,146
530,79,1499,248,48,75,547,548,56,,,1577,79,575,576,195,159
531,103,1541,241,55,60,583,486,73,,,1621,63,613,511,125,130
532,87,1423,236,53,59,620,634,46,,,1507,62,656,671,155,126
533,73,1444,243,50,75,495,608,23,,,1519,79,521,640,158,167
534,67,1475,237,46,92,466,608,41,,,1552,97,490,640,181,160
535,64,1405,223,56,102,417,603,56,,,1478,107,439,634,197,168
536,68,1374,237,50,170,507,812,49,,,1455,180,537,860,210,179
537,65,1396,210,49,108,502,681,66,32,,1469,114,528,716,190,169
538,81,1481,235,47,113,444,749,53,42,,1558,119,467,788,154,129
539,68,1443,215,60,144,541,785,52,22,,1518,151,569,826,203,148
540,67,1485,241,47,167,503,729,48,33,,1562,176,529,767,162,173
541,76,1363,198,58,174,453,853,39,37,,1443,184,480,903,156,156
542,63,1348,212,53,149,469,816,58,40,,1418,157,493,858,150,148
543,65,1380,235,33,155,485,1040,29,26,,1452,163,510,1094,144,147
544,76,1475,218,52,191,512,897,41,24,,1552,201,539,944,158,169
545,78,1390,220,46,171,524,958,34,20,,1462,180,551,1008,147,149
546,63,1360,224,50,125,559,944,54,36,,1431,131,588,993,150,140
547,67,1435,250,54,185,567,1080,37,26,,1510,195,596,1136,193,184
548,59,1398,196,56,126,504,1044,78,50,,1398,126,504,1044,146,171
549,82,1286,205,44,127,439,1049,68,60,,1286,127,439,1049,155,172
551,72,1316,202,33,134,532,948,65,47,,1316,134,532,948,171,166
552,59,1418,203,43,140,457,998,76,47,,1418,140,457,998,166,132
553,88,1382,212,49,129,512,918,63,50,,1391,130,515,924,122,144
555,92,1400,215,40,142,559,928,30,32,,1400,142,559,928,136,149
556,84,1424,228,44,179,607,844,39,16,,1424,179,607,844,137,146
557,83,1401,202,34,128,527,772,44,32,,1401,128,527,772,126,150
558,89,1407,215,42,139,591,852,72,49,,1471,145,618,890,138,155
559,77,1330,202,21,118,579,860,65,58,,1338,119,583,865,158,156
560,66,1397,221,42,110,621,857,78,73,,1397,110,621,857,199,141
561,75,1419,229,41,95,650,802,67,55,,1419,95,650,802,178,152
562,75,1386,216,24,105,490,834,74,74,,1386,105,490,834,140,145
563,81,1489,271,37,111,534,796,64,45,,1489,111,534,796,153,147
564,79,1461,224,48,72,562,746,110,58,,1461,72,562,746,144,154
565,80,1494,250,43,135,478,762,73,52,,1494,135,478,762,159,163
567,60,1318,217,46,90,538,961,113,64,,2073,142,846,1511,178,162
568,73,1436,239,46,102,460,869,132,70,,1436,102,460,869,132,110
569,71,1436,272,42,140,470,868,84,40,,1436,140,470,868,115,164
570,97,1424,241,47,137,571,973,155,66,,1433,138,575,979,122,138
571,77,1406,240,28,151,565,943,183,49,,1415,152,569,949,135,151
572,71,1427,261,27,157,514,978,134,63,,1445,159,520,990,126,149
573,76,1484,246,33,210,507,1071,110,48,,1493,211,510,1078,131,155
574,77,1481,262,46,113,403,910,120,46,,1481,113,403,910,125,128
575,93,1438,235,45,124,472,921,136,57,,1438,124,472,921,119,130
576,77,1474,240,36,136,406,869,151,50,,1474,136,406,869,122,136
577,78,1412,235,26,161,448,890,125,65,,1430,163,454,901,114,122
579,84,1521,259,32,161,446,923,100,43,,1521,161,446,923,115,162
580,70,1455,271,37,156,522,1075,99,76,,2086,224,748,1541,116,158
581,82,1479,300,44,178,495,1072,118,42,,1664,200,557,1206,129,129
582,76,1388,267,19,175,523,1090,108,50,,1388,175,523,1090,104,147
583,68,1444,269,39,127,451,1003,116,60,,1444,127,451,1003,115,117
584,89,1485,248,34,211,597,1215,65,44,,1476,210,593,1208,100,106
585,67,1411,255,35,189,571,1170,60,44,,1411,189,571,1170,139,135
586,65,1426,272,23,183,632,1120,93,37,54,1426,183,632,1120,100,139
587,88,1409,268,32,194,577,1077,67,36,66,1409,194,577,1077,109,113
588,67,1351,259,29,200,585,1269,63,21,44,1351,200,585,1269,114,144
589,88,1431,302,24,172,492,1158,73,31,50,1431,172,492,1158,106,157
590,89,1508,308,29,235,489,1080,66,28,38,1508,235,489,1080,86,126
591,79,1506,323,23,194,419,920,65,39,50,1506,194,419,920,101,136
592,66,1496,271,46,166,395,928,121,49,43,1496,166,395,928,106,122
593,92,1382,239,53,55,547,679,180,,,1454,58,575,714,262,119
594,92,1407,197,82,53,473,629,172,,,1500,56,504,670,242,109
595,89,1550,236,112,37,582,485,326,,,1833,44,688,574,582,
597,89,1509,206,60,17,497,461,320,,,1824,21,601,557,313,151
598,71,1362,208,58,17,384,635,213,,,1611,20,454,751,351,101
600,98,1293,213,59,12,468,,207,,,1378,13,499,,231,68
601,100,1216,163,56,8,486,,230,,,1305,9,521,,261,86
602,93,1293,160,35,5,452,,188,,,1387,5,485,,249,108
603,94,1201,155,44,3,493,,223,,,1280,3,525,,248,87
604,83,1183,155,60,4,470,,225,,,1261,4,501,,263,108
606,83,1503,192,99,21,413,,216,,,1612,23,443,,274,105
608,83,1214,167,70,26,424,586,166,,,1294,28,452,625,272,111
609,74,1268,169,75,20,429,641,176,160,,1334,21,451,674,303,95
610,98,1335,171,107,26,613,605,245,193,,1404,27,645,636,234,100
611,94,1343,204,105,18,470,622,207,,,1413,19,494,654,216,141
612,105,1348,160,85,19,549,504,230,,,1418,20,578,530,210,123
613,74,1381,178,72,10,490,468,152,,,1804,13,640,611,218,128
615,101,1656,277,103,39,495,371,118,101,,1742,41,521,390,204,149
616,65,1587,255,86,37,468,499,102,98,,1669,39,492,525,209,163
617,81,1539,256,65,47,507,487,112,88,,1619,49,533,512,161,139
618,73,1539,267,60,44,560,482,201,125,,1619,46,589,507,190,145
619,70,1601,269,61,43,640,443,146,91,,1695,46,678,469,244,144
620,83,1559,315,62,40,696,426,136,93,,1640,42,732,448,208,170
621,86,1597,332,64,34,589,403,128,82,,1691,36,624,427,170,129
622,74,1517,302,65,38,522,412,95,79,,1606,40,553,436,191,139
623,76,1478,243,81,25,493,513,146,86,,1555,26,519,540,194,157
624,63,1499,256,79,39,453,465,116,69,,1598,42,483,496,203,163
625,65,1574,269,95,66,409,504,78,42,,1656,69,430,530,245,143
626,59,1507,252,73,29,511,471,100,41,,1596,31,541,499,260,139
627,53,1530,294,60,39,492,414,95,62,,1641,42,528,444,286,182
628,72,1564,249,57,46,581,449,46,50,,1689,50,627,485,201,154
629,56,1487,253,43,76,602,558,38,29,,1585,81,642,595,221,134
630,79,1556,279,45,79,618,432,49,30,,1658,84,659,460,155,142
631,87,1713,303,60,64,734,447,71,31,,1838,69,787,480,180,187
632,90,1555,295,80,70,578,470,74,36,,1636,74,608,494,183,182
633,71,1575,262,60,73,563,535,61,43,,1724,80,616,586,213,170
634,89,1526,231,59,67,609,528,119,64,,1605,70,641,555,176,147
635,86,1577,250,66,77,522,599,55,63,,1659,81,549,630,195,131
636,81,1447,258,49,49,536,501,96,56,,1522,52,564,527,189,153
637,72,1330,234,39,27,544,467,125,77,,1456,30,595,511,189,158
638,86,1364,203,48,35,590,611,182,92,,1435,37,621,643,175,176
639,75,1375,221,58,24,462,471,69,49,,1446,25,486,495,193,162
640,77,1446,222,60,24,511,508,85,59,,1572,26,556,552,196,151
641,78,1435,217,46,39,527,631,82,67,,1510,41,554,664,182,179
642,74,1420,222,43,56,518,554,96,60,,1494,59,545,583,163,189
643,54,1389,183,42,59,634,563,49,50,,1480,63,676,600,164,188
645,63,1439,181,49,98,580,595,20,23,,1514,103,610,626,142,190
646,85,1528,241,67,90,627,551,104,74,,1607,95,660,580,159,185
647,85,1406,209,40,84,569,548,64,40,,1479,88,599,576,129,166
648,94,1415,238,56,78,632,558,77,58,,1489,82,665,587,131,151
649,99,1454,214,49,99,635,564,103,61,,1530,104,668,593,114,157
650,96,1474,215,38,122,596,626,73,47,,1551,128,627,659,117,155
651,89,1485,229,45,135,651,694,74,35,,1562,142,685,730,128,168
652,95,1440,219,43,112,666,784,115,54,,1515,118,701,825,113,178
653,86,1418,201,44,106,545,704,106,35,,1492,112,573,741,119,168
654,99,1394,231,48,102,610,667,119,56,,1466,107,642,702,137,148
655,92,1475,255,40,118,596,682,128,50,,1552,124,627,717,115,184
656,86,1475,216,46,138,550,612,100,40,,1475,138,550,612,128,138
657,85,1415,250,56,92,620,674,76,40,,1415,92,620,674,110,153
658,94,1379,208,40,114,571,896,64,28,,1379,114,571,896,130,163
659,98,1356,184,40,106,562,902,75,39,,1356,106,562,902,122,164
660,95,1354,200,38,125,533,916,50,33,,1354,125,533,916,126,156
661,83,1235,193,40,87,476,872,153,78,,1235,87,476,872,160,149
662,89,1209,181,34,89,480,849,124,82,,1209,89,480,849,137,149
663,67,1233,169,33,71,397,840,90,50,,1233,71,397,840,151,152
664,68,1346,210,27,112,552,844,54,22,,1346,112,552,844,122,163
665,56,1394,192,20,123,477,872,53,33,,1394,123,477,872,165,187
666,79,1346,185,30,138,562,870,83,65,,1346,138,562,870,160,128
667,92,1271,179,29,114,538,1042,105,55,,1337,120,566,1096,142,143
668,77,1400,228,38,111,537,952,83,73,,1400,111,537,952,144,165
669,81,1511,228,23,137,525,869,65,54,,1530,139,532,880,149,190
670,75,1409,210,38,95,615,805,102,54,,1418,96,619,810,141,156
671,64,1419,210,46,73,474,744,121,53,,1428,73,477,749,131,156
672,90,1568,254,52,192,559,666,42,44,,1568,192,559,666,159,125
673,71,1432,222,41,107,412,629,84,68,,1441,108,415,633,139,131
674,74,1524,294,33,129,460,676,98,63,,1543,131,466,684,175,144
675,71,1426,258,38,92,404,678,69,55,,1444,93,409,686,173,164
676,83,1501,206,41,116,492,792,131,67,,2294,177,752,1210,133,173
677,87,1523,266,52,136,533,866,136,58,,1523,136,533,866,154,173
678,99,1439,270,42,157,527,888,165,50,,1439,157,527,888,120,158
679,74,1360,225,38,172,523,883,109,49,,1360,172,523,883,122,160
680,85,1386,247,37,146,471,843,108,56,,1386,146,471,843,111,152
681,72,1335,197,34,121,487,940,115,54,,1335,121,487,940,117,142
682,77,1427,283,36,173,487,971,138,52,,1427,173,487,971,115,174
683,71,1335,225,35,133,449,914,99,46,,1343,134,452,920,155,178
684,69,1502,264,36,95,467,878,98,52,,1511,96,470,883,152,177
685,94,1393,251,44,106,478,903,140,90,,1393,106,478,903,124,169
686,87,1464,226,39,139,610,896,134,74,,1464,139,610,896,116,151
687,86,1434,269,36,110,622,784,160,57,,1434,110,622,784,129,134
688,94,1454,228,44,162,604,834,106,57,,1454,162,604,834,112,153
689,96,1624,251,56,173,713,814,110,39,,2328,248,1022,1167,113,130
690,77,1594,284,42,164,648,863,124,44,,1793,185,729,971,122,147
691,85,1586,284,33,195,701,927,105,41,,1586,195,701,927,109,145
693,80,1516,291,38,198,551,916,127,46,,1516,198,551,916,140,161
694,75,1573,300,37,163,502,815,111,50,,1583,164,505,820,137,149
695,95,1615,325,33,216,591,960,119,42,53,1615,216,591,960,133,190
696,83,1463,300,29,214,520,998,123,59,52,1463,214,520,998,118,149
697,81,1475,289,29,217,555,952,75,31,49,1475,217,555,952,97,157
698,86,1445,303,19,220,519,916,77,29,58,1445,220,519,916,93,154
701,90,1586,291,20,236,502,1056,93,48,58,1586,236,502,1056,90,145
702,111,1610,192,95,10,207,413,,,,3260,20,419,836,652,83
703,101,1589,202,122,56,230,431,,,,2627,93,380,712,595,
704,101,1541,162,143,54,229,600,,,,2290,80,340,892,612,
705,91,1513,156,111,38,221,608,,,,2188,55,320,879,603,
706,76,1438,170,112,53,439,743,217,,,1688,62,515,872,681,
707,97,1542,215,122,44,458,439,632,,,1850,53,550,527,581,
708,97,1404,160,99,39,417,671,567,,,1697,47,504,811,551,
709,89,1523,230,112,61,527,596,538,,,1775,71,614,695,513,
710,95,1478,184,147,33,531,463,383,,,1814,41,652,568,468,
711,66,1369,175,106,47,490,519,289,,,1619,56,579,614,484,
712,89,1391,167,81,48,543,512,292,,,1502,52,586,553,434,
713,82,1512,204,82,37,673,324,301,,,1914,47,852,410,406,
714,69,1712,279,83,76,633,314,268,,,2133,95,789,391,523,
715,82,1738,293,131,45,516,310,406,,,2166,56,643,386,470,
717,93,1609,269,85,27,466,268,238,,,1975,33,572,329,335,
718,98,1543,221,108,20,485,320,176,,,1645,21,517,341,346,
719,90,1554,210,113,14,524,319,246,,,1678,15,566,345,366,
720,72,1556,207,97,38,388,476,213,,,1813,44,452,555,397,140
723,86,1630,266,107,33,470,,168,,,1900,38,548,,364,98
724,93,1410,200,97,22,422,,190,,,1493,23,447,,319,86
725,84,1483,169,107,29,460,,192,,,1570,31,487,,328,129
726,69,1285,150,76,17,424,,182,,,1379,18,455,,279,104
727,70,1298,133,95,16,394,,167,,,1374,17,417,,240,125
728,77,1166,136,81,15,391,,206,,,1227,16,411,,268,76
730,79,1395,158,83,24,556,542,326,,,1467,25,585,570,306,108
732,79,1387,194,94,22,507,521,263,,,1469,23,537,552,262,108
733,68,1418,180,102,29,485,613,239,,,1501,31,514,649,266,110
734,63,1239,149,67,17,464,660,236,,,1303,18,488,694,330,119
735,75,1392,204,88,16,379,539,164,149,,1464,17,399,567,236,156
736,64,1415,198,93,15,383,607,166,,,1498,16,406,643,241,133
737,82,1457,206,105,27,328,502,161,,,1533,28,345,528,260,126
738,86,1500,209,106,19,385,383,162,,,1898,24,487,485,243,161
739,111,1393,156,96,23,469,426,165,,,1612,27,543,493,176,113
740,87,1516,179,80,19,404,389,167,136,,1605,20,428,412,212,132
741,74,1505,234,100,21,397,326,124,127,,1594,22,420,345,204,147
742,90,1642,238,104,47,459,401,137,143,,1727,49,483,422,216,155
743,96,1584,249,100,47,462,386,101,110,,1666,49,486,406,212,151
744,88,1630,250,118,38,370,354,109,104,,1726,40,392,375,230,150
745,85,1578,234,95,47,433,346,114,113,,1671,50,458,366,215,170
747,79,1524,235,82,31,426,352,66,,,1614,33,451,373,175,169
748,83,1544,244,71,34,411,352,88,,,1646,36,438,375,173,207
749,69,1555,271,83,36,433,365,141,,,1636,38,455,384,170,156
750,62,1552,279,70,78,468,514,50,,,1633,82,492,541,169,173
751,61,1514,254,74,22,424,487,25,,,1593,23,446,512,174,204
752,63,1503,279,72,49,459,459,37,,,1581,52,483,483,187,136
753,62,1350,222,39,36,372,377,32,,,1439,38,396,402,189,148
754,56,1532,244,70,59,336,571,36,,,1644,63,360,613,194,146
755,72,1486,258,72,77,415,579,76,,,1573,82,439,613,216,147
756,78,1553,236,77,86,431,614,72,,,1634,90,453,646,201,158
757,59,1398,226,62,77,460,616,56,,,1471,81,484,648,219,146
758,89,1615,271,62,119,395,559,21,,,1744,129,427,604,183,144
759,102,1571,283,63,103,526,566,48,,,1653,108,553,595,167,179
760,106,1511,280,40,94,480,533,76,,,1600,100,508,564,124,167
761,93,1355,224,35,67,502,450,72,,,1425,70,528,473,158,155
762,81,1296,211,42,70,515,585,45,,,1381,75,549,623,187,168
764,94,1410,241,33,54,445,411,54,,,1483,57,468,432,145,161
765,64,1385,232,27,59,412,560,75,,,1457,62,433,589,154,145
766,70,1328,217,35,68,519,635,86,,,1397,72,546,668,160,202
767,77,1443,255,45,100,567,558,48,,,1518,105,596,587,143,141
768,68,1340,234,39,110,506,620,44,,,1419,116,536,656,162,143
769,65,1497,278,37,90,451,588,33,,,1575,95,474,619,143,158
770,70,1446,272,29,105,534,526,39,,,1531,111,565,557,148,140
771,72,1377,226,35,93,437,607,46,42,,1449,98,460,639,147,148
772,73,1371,223,47,109,505,746,34,44,,1442,115,531,785,113,153
773,72,1469,200,36,175,510,737,26,21,,1545,184,536,775,136,185
775,79,1498,227,29,190,585,691,54,38,,1576,200,615,727,146,178
777,84,1527,264,35,197,574,791,54,38,,1606,207,604,832,113,146
778,80,1430,255,42,129,602,805,64,40,,1504,136,633,847,104,156
779,78,1523,271,36,169,525,803,68,29,,1602,178,552,845,133,165
780,70,1393,242,42,147,539,903,77,39,,1465,155,567,950,131,163
781,98,1487,260,37,166,445,801,74,35,,1564,175,468,843,141,130
782,98,1523,252,40,167,498,903,66,39,,1523,167,498,903,143,144
783,86,1333,225,44,122,474,960,92,58,,1333,122,474,960,135,127
784,92,1383,220,38,130,457,974,90,36,,1383,130,457,974,130,137
785,89,1544,268,61,183,538,1003,82,40,,1544,183,538,1003,117,142
786,77,1452,235,33,151,399,888,71,51,,1470,153,404,899,124,135
787,87,1366,251,54,109,372,969,92,63,,1366,109,372,969,121,124
790,102,1498,253,45,191,547,984,115,52,,1498,191,547,984,151,173
791,79,1306,203,28,138,438,907,59,33,,1306,138,438,907,103,174
793,99,1398,232,34,137,639,947,148,55,,1398,137,639,947,115,162
794,98,1437,271,35,135,693,940,146,49,,1437,135,693,940,134,151
795,108,1515,278,37,124,691,916,168,36,,1515,124,691,916,102,173
796,102,1599,271,63,141,681,902,210,57,,1599,141,681,902,102,157
797,88,1513,269,42,181,600,911,170,64,,1513,181,600,911,95,154
798,93,1387,272,32,137,640,905,138,58,,1396,138,644,911,135,121
799,91,1454,268,31,133,618,908,100,47,,1463,134,622,914,125,153
800,89,1445,256,45,113,537,852,156,43,,1445,113,537,852,106,144
801,99,1458,285,36,96,563,830,87,56,,2187,144,845,1245,120,149
802,61,1375,228,34,82,470,817,131,69,,1375,82,470,817,128,158
803,74,1274,236,35,107,588,1006,154,77,,1274,107,588,1006,114,121
804,70,1342,238,30,106,566,978,160,63,,1342,106,566,978,139,116
805,90,1394,251,34,115,580,861,160,70,,1403,116,584,866,122,143
806,86,1404,237,35,144,586,920,177,53,,1404,144,586,920,140,160
807,84,1478,262,29,192,514,928,169,46,,1478,192,514,928,128,137
808,88,1342,248,25,123,482,928,208,56,,1350,124,485,934,122,132
809,75,1362,243,28,128,493,1028,128,71,,1362,128,493,1028,121,108
810,91,1466,284,40,125,466,913,166,66,,1466,125,466,913,102,126
812,90,1418,281,44,99,563,888,125,65,,1418,99,563,888,96,128
813,73,1457,261,28,137,485,1025,142,59,,1457,137,485,1025,120,133
814,94,1623,300,51,176,551,1049,169,72,,2306,250,783,1491,104,129
815,96,1492,312,39,181,584,1064,214,77,,1679,204,657,1197,89,158
816,81,1398,259,36,191,604,1134,171,63,,1398,191,604,1134,121,145
817,76,1386,269,27,142,518,1113,190,67,,1386,142,518,1113,106,129
818,77,1441,298,28,138,608,1107,95,42,,1441,138,608,1107,122,142
819,95,1527,310,37,208,566,1118,163,54,,1518,207,563,1111,104,136
820,85,1545,302,36,200,559,995,99,38,64,1545,200,559,995,111,156
821,66,1464,304,22,176,468,1172,103,54,65,1464,176,468,1172,138,136
822,78,1386,297,21,169,583,1188,116,52,66,1386,169,583,1188,120,169
823,69,1349,239,21,182,524,1326,80,34,79,1349,182,524,1326,141,152
824,76,1380,287,28,194,599,1335,77,25,81,1380,194,599,1335,113,123
825,73,1453,335,15,222,611,1303,72,23,62,1453,222,611,1303,104,133
826,80,1419,291,12,217,614,1192,124,33,59,1419,217,614,1192,128,139
827,70,1358,170,94,45,693,624,266,,,2200,73,1123,1011,630,
828,64,1562,235,81,14,289,388,149,,,1861,17,344,462,392,118
829,82,1669,295,81,39,367,424,167,,,1988,46,437,505,342,114
830,89,1464,267,110,36,300,689,203,,,1694,42,347,797,373,115
831,92,1438,241,97,29,329,766,191,,,1543,31,353,822,274,92
832,80,1386,222,76,19,301,,198,,,1458,20,317,,245,88
833,94,1605,254,77,13,349,,215,,,1699,14,370,,230,118
834,91,1301,194,72,12,357,,206,,,1387,13,380,,281,146
836,75,1288,183,86,11,300,,184,,,1364,12,318,,293,116
838,85,1589,252,86,21,375,,221,,,1682,22,397,,320,114
839,79,1486,232,82,13,431,,205,,,1573,14,456,,303,131
840,92,1438,220,79,17,448,594,204,,,1533,18,477,633,258,132
841,54,1336,188,74,11,476,725,177,166,,1415,12,504,768,316,126
842,61,1290,180,84,21,522,726,147,125,,1375,22,556,774,290,87
843,81,1330,245,69,17,549,636,168,,,1399,18,578,669,244,137
844,93,1288,229,67,14,578,627,221,,,1355,15,608,660,255,143
845,93,1383,225,85,11,626,492,210,,,1764,14,799,628,264,105
846,98,1478,296,84,28,580,428,132,,,1723,33,676,499,234,119
847,103,1656,316,100,37,604,399,77,97,,1742,39,635,420,195,130
848,99,1742,373,95,44,655,396,53,44,,1832,46,689,417,215,130
849,82,1624,337,77,34,583,348,94,61,,1708,36,613,366,211,147
850,87,1688,319,79,62,670,407,84,82,,1787,66,709,431,240,151
851,71,1673,324,62,43,521,393,89,59,,1771,46,552,416,213,138
852,74,1697,300,61,55,547,399,95,81,,1785,58,575,420,223,154
853,93,1608,350,52,28,479,349,93,45,,1692,29,504,367,181,161
854,70,1558,340,55,28,403,388,67,76,,1650,30,427,411,214,155
855,65,1615,315,64,36,397,448,53,55,,1699,38,418,471,232,197
856,86,1625,313,84,66,483,387,80,91,,1732,70,515,412,211,173
857,85,1740,377,62,76,515,485,54,49,,1830,80,542,510,247,164
858,82,1696,338,73,75,584,455,66,63,,1784,79,614,479,243,150
859,93,1646,330,79,83,603,484,55,58,,1754,88,643,516,201,137
860,80,1466,234,83,54,481,457,39,43,,1573,58,516,490,168,136
864,87,1577,320,80,108,600,580,82,54,,1659,114,631,610,165,161
865,92,1605,320,95,120,586,645,88,38,,1711,128,625,687,162,155
866,92,1567,306,83,89,586,604,76,48,,1648,94,616,635,189,156
867,94,1496,302,64,106,546,628,56,38,,1574,112,574,661,156,173
868,79,1420,262,88,108,539,636,66,49,,1494,114,567,669,149,166
869,79,1414,235,61,53,526,572,73,78,,1487,56,553,602,171,184
870,87,1423,260,48,58,600,552,50,61,,1507,61,635,584,166,194
872,82,1395,241,54,73,564,646,21,35,,1559,82,630,722,141,166
873,72,1352,245,59,83,532,733,60,52,,1422,87,560,771,155,155
